,fourth_downs_rate_awayAvg,def_st_td_homeAvg,def_st_td_awayAvg,def_st_td_opp_awayAvg,def_st_td_opp_homeAvg,score_diff_homeAvg,score_diff_awayAvg,home,away,winner,date
85,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Chargers,Chiefs,1,2002-10-13
86,0.0,0.0,2.0,0.0,2.0,-2.0,2.0,Broncos,Dolphins,0,2002-10-13
87,0.0,1.0,0.0,1.0,0.0,-7.0,7.0,Seahawks,49ers,0,2002-10-14
88,0.16339685405477697,0.0,0.3728433347829377,0.0,0.0,30.0,5.144585140666483,Falcons,Panthers,1,2002-10-20
89,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,Lions,Bears,1,2002-10-20
90,0.37793143454553624,0.0,0.7998375903870748,0.0,0.0,2.723012079121882,5.396524689859346,Chiefs,Broncos,0,2002-10-20
91,0.0,0.0,2.0,0.0,1.174435970056053,-10.084754624639444,-17.0,Rams,Seahawks,1,2002-10-20
92,0.2616311713463666,0.36001954348193776,0.5592650021744066,1.560142024102343,0.0,10.837208745829534,-3.4542952414383685,Dolphins,Bills,0,2002-10-20
93,0.0,0.7328628782648754,0.0,0.0,0.3998775268808054,4.6562431134189115,-8.0,Saints,49ers,1,2002-10-20
94,0.0,0.0,0.0,0.0,0.0,13.0,-13.0,Jets,Vikings,1,2002-10-20
95,0.5,0.0,0.0,0.0,0.0,7.0,-7.0,Ravens,Jaguars,1,2002-10-20
96,0.0,0.19306195289789319,0.0,1.0,0.38612390579578637,1.1875388528610649,-17.0,Browns,Texans,1,2002-10-20
97,0.15323271526062102,0.0,0.758967240578724,0.4141210479438132,0.0,-6.0,8.379166683711526,Raiders,Chargers,0,2002-10-20
98,0.0,0.7999028586520174,0.0,0.0,0.5641998672645914,2.20052019627388,-21.0,Packers,Washington,1,2002-10-20
99,0.3261338780534843,0.0,1.7604418846366374,0.7595169532131902,2.0,10.0,14.39876574332688,Eagles,Buccaneers,1,2002-10-20
100,0.15958080237217115,0.0,0.5659052876808308,0.0,0.0,3.0,-6.342060951938077,Cardinals,Cowboys,1,2002-10-20
101,1.0,0.0,0.0,0.0,0.0,18.0,-18.0,Steelers,Colts,1,2002-10-21
102,0.2138462416222719,0.5400293152229066,1.0004282390323533,1.0955700622730904,1.1588447674595295,-0.8431520632480742,-10.940285507994552,Bills,Lions,1,2002-10-27
103,0.28341682309626015,0.3998775268808054,0.38612390579578637,1.3656603414424417,0.3998775268808054,-19.724137057213962,-10.448905403015809,Bengals,Titans,0,2002-10-27
104,0.43699764034698474,0.5464412108734066,0.6006902182122134,0.1819691124430553,0.0,-4.352502186303807,-1.6204180986087953,Cowboys,Seahawks,0,2002-10-27
105,0.16687572203658563,0.0,1.3613343450932252,0.0,0.0,2.248476277590593,10.550542824207323,Chiefs,Raiders,1,2002-10-27
106,0.25661680570729295,0.0,0.3986724501423769,0.41494258148186364,1.3589678600675161,-6.5474743701555695,-4.144295930544484,Vikings,Bears,1,2002-10-27
107,0.18050354519513084,0.774140591425751,0.0,0.4040089236708807,0.8002449537395996,6.766151489845594,3.013012068622791,Saints,Falcons,0,2002-10-27
108,0.15330801351917756,0.36001954348193776,0.18642166739146884,0.3728433347829377,0.7456866695658754,-16.856926973179345,-1.5783349766953836,Jets,Browns,0,2002-10-27
109,0.3396090924671036,0.36001954348193776,1.6999069701480454,0.38593410719799487,0.0,4.239123520536741,17.843467075496854,Panthers,Buccaneers,0,2002-10-27
110,0.5188427497612708,0.0,0.2083696349602257,0.18114785815971512,0.5434295763713556,-2.31629341930846,0.4375910454175109,Ravens,Steelers,0,2002-10-27
111,0.2020756417107122,0.4033666274306755,0.5862991942722743,0.38612390579578637,0.20991416588974698,6.892651064648907,2.4863888042766193,49ers,Cardinals,1,2002-10-27
112,0.4077984257173822,0.7453264840551881,0.7723343297730549,0.41391389553008023,0.0,6.27698917843295,3.5809253515809467,Patriots,Broncos,0,2002-10-27
113,0.3087441666912324,0.20129904440092775,0.0,0.3650409471539439,0.3500019640557128,4.330698318778595,-11.020405368669852,Jaguars,Texans,0,2002-10-27
114,0.20098460748964547,0.6008874153416985,0.3512284849678877,0.0,0.41819541931598553,-5.87225289178534,4.6712712350619245,Washington,Colts,1,2002-10-27
115,0.25256390116801153,0.0,0.3733819562999138,0.40045520286436187,0.5871898125836057,14.036387733838037,-0.9930282139790308,Eagles,Giants,1,2002-10-28
116,0.37935054693889003,0.0,0.0,0.5229495092645143,0.38875089512201644,9.660244378526553,-0.27045996326683164,Falcons,Ravens,1,2002-11-03
117,0.45983498734759526,0.4141210479438132,0.7200390869638755,0.0,1.1189867840606618,0.8347241491994968,-0.45810046991455167,Bills,Patriots,0,2002-11-03
118,0.35034020577346825,0.3778518574772143,0.0,0.9748290113065403,0.39327228431089134,-5.237765553309338,15.878887845545425,Bears,Eagles,0,2002-11-03
119,0.4184936546235502,0.3870702957128755,0.20000573592735094,0.17387663365544134,0.36001954348193776,-0.2636592320841915,6.866857350571218,Browns,Steelers,0,2002-11-03
120,0.13699239835674853,0.9625739179507522,0.18000977174096888,0.0,0.7149676262924645,-5.150652511565777,-6.214528541862519,Lions,Cowboys,1,2002-11-03
121,0.2911780813156093,0.0,0.3728433347829377,1.3186890224649794,0.0,0.21599816362779034,-8.74743016708496,Colts,Titans,0,2002-11-03
122,0.2444605989361478,1.5341710359695249,0.0,1.3075470747402953,0.37266324202759404,10.81692899461239,-8.34103143716055,Buccaneers,Vikings,1,2002-11-03
123,0.2743259793019504,0.0,0.38612390579578637,0.5931844297676929,0.5604282869101311,-15.685977183833057,-19.76945222466756,Texans,Bengals,0,2002-11-03
124,0.40088197784184854,0.7328628782648754,0.0,0.7049710314552806,0.3998775268808054,3.431113761462411,-14.228267883926351,Chargers,Jets,0,2002-11-03
125,0.2716146372838363,1.3100164843149829,0.3885516564578318,0.20220437518580536,0.0,6.54862753293658,4.473454075206017,Raiders,49ers,0,2002-11-03
126,0.5965540844026312,0.5542863572553263,0.0,1.1340515747288853,0.3650409471539439,4.341921402631689,-5.417466242433844,Cardinals,Rams,0,2002-11-03
127,0.10585710111226845,0.9975987069718252,0.578199826065386,0.4024056962024118,0.17552392321308166,-2.7447759328173857,-11.377506863089874,Seahawks,Washington,0,2002-11-03
128,0.38832007173640803,0.36001954348193776,0.19371072756120783,0.0,0.38612390579578637,-1.893222093732989,3.2183627977132794,Giants,Jaguars,1,2002-11-03
129,0.18574493389672506,0.7743308835152233,0.4141210479438132,0.0,0.5461630458908237,5.334174471513496,6.011673014004381,Packers,Dolphins,1,2002-11-04
